cycSecs,cycMps,cycGrade,cycRoadType
0,0,0,0
1,5.913094261,0,0
2,11.92471582,0,0
3,11.92471582,0,0
4,11.92471582,0,0
5,11.92471582,0,0
6,11.92471582,0,0
7,11.92471582,0,0
8,11.92471582,0,0
9,11.92471582,0,0
10,11.92471582,0,0
11,11.92471582,0,0
12,11.92471582,0,0
13,11.92471582,0,0
14,11.92471582,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,4.69392,0,0
35,4.69392,0,0
36,4.69392,0,0
37,4.69392,0,0
38,4.69392,0,0
39,4.69392,0,0
40,4.69392,0,0
41,4.69392,0,0
42,4.69392,0,0
43,4.69392,0,0
44,4.69392,0,0
45,4.69392,0,0
46,4.69392,0,0
47,4.69392,0,0
48,4.69392,0,0
49,4.69392,0,0
50,4.69392,0,0
51,4.69392,0,0
52,4.69392,0,0
53,4.69392,0,0
54,4.69392,0,0
55,4.69392,0,0
56,4.69392,0,0
57,4.69392,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,7.15264,0,0
62,7.15264,0,0
63,7.15264,0,0
64,7.15264,0,0
65,7.15264,0,0
66,7.15264,0,0
67,7.15264,0,0
68,7.15264,0,0
69,7.15264,0,0
70,5.662506668,0,0
71,5.662506668,0,0
72,5.662506668,0,0
73,5.662506668,0,0
74,5.662506668,0,0
75,5.662506668,0,0
76,5.662506668,0,0
77,5.662506668,0,0
78,5.662506668,0,0
79,5.662506668,0,0
80,5.662506668,0,0
81,5.662506668,0,0
82,5.662506668,0,0
83,5.662506668,0,0
84,5.662506668,0,0
85,5.662506668,0,0
86,5.662506668,0,0
87,5.662506668,0,0
88,5.662506668,0,0
89,5.662506668,0,0
90,5.662506668,0,0
91,5.662506668,0,0
92,5.662506668,0,0
93,5.662506668,0,0
94,5.662506668,0,0
95,5.662506668,0,0
96,5.662506668,0,0
97,6.153374117,0,0
98,6.153374117,0,0
99,6.153374117,0,0
100,6.153374117,0,0
101,6.153374117,0,0
102,6.153374117,0,0
103,6.153374117,0,0
104,6.153374117,0,0
105,6.153374117,0,0
106,6.153374117,0,0
107,6.153374117,0,0
108,6.153374117,0,0
109,6.153374117,0,0
110,6.153374117,0,0
111,6.153374117,0,0
112,6.153374117,0,0
113,6.153374117,0,0
114,0,0,0
115,0,0,0
116,9.028027317,0,0
117,9.028027317,0,0
118,9.028027317,0,0
119,9.028027317,0,0
120,9.028027317,0,0
121,9.028027317,0,0
122,9.028027317,0,0
123,9.028027317,0,0
124,9.028027317,0,0
125,9.028027317,0,0
126,9.028027317,0,0
127,9.028027317,0,0
128,9.028027317,0,0
129,9.028027317,0,0
130,9.028027317,0,0
131,9.028027317,0,0
132,9.028027317,0,0
133,9.028027317,0,0
134,9.028027317,0,0
135,9.028027317,0,0
136,9.028027317,0,0
137,9.028027317,0,0
138,9.028027317,0,0
139,9.028027317,0,0
140,9.028027317,0,0
141,9.028027317,0,0
142,9.028027317,0,0
143,9.028027317,0,0
144,9.028027317,0,0
145,9.028027317,0,0
146,9.028027317,0,0
147,9.028027317,0,0
148,9.028027317,0,0
149,9.028027317,0,0
150,9.028027317,0,0
151,9.028027317,0,0
152,9.028027317,0,0
153,9.028027317,0,0
154,9.028027317,0,0
155,9.028027317,0,0
156,9.028027317,0,0
157,9.05256,0,0
158,9.05256,0,0
159,9.05256,0,0
160,9.05256,0,0
161,9.05256,0,0
162,9.05256,0,0
163,9.05256,0,0
164,9.05256,0,0
165,9.05256,0,0
166,9.05256,0,0
167,9.05256,0,0
168,9.05256,0,0
169,9.05256,0,0
170,9.05256,0,0
171,9.05256,0,0
172,9.05256,0,0
173,9.05256,0,0
174,9.05256,0,0
175,9.05256,0,0
176,9.05256,0,0
177,9.05256,0,0
178,9.05256,0,0
179,9.05256,0,0
180,9.05256,0,0
181,9.05256,0,0
182,9.05256,0,0
183,9.05256,0,0
184,9.05256,0,0
185,9.05256,0,0
186,9.05256,0,0
187,9.05256,0,0
188,9.05256,0,0
189,9.05256,0,0
190,9.05256,0,0
191,9.05256,0,0
192,9.05256,0,0
193,9.05256,0,0
194,9.05256,0,0
195,9.05256,0,0
196,9.05256,0,0
197,9.05256,0,0
198,9.05256,0,0
199,9.05256,0,0
200,9.05256,0,0
201,9.05256,0,0
202,9.05256,0,0
203,9.05256,0,0
204,9.05256,0,0
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,0
209,0,0,0
210,0,0,0
211,0,0,0
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,0,0,0
217,0,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,16.09344,0,0
232,16.09344,0,0
233,16.09344,0,0
234,16.09344,0,0
235,16.09344,0,0
236,16.09344,0,0
237,16.09344,0,0
238,16.09344,0,0
239,16.09344,0,0
240,16.09344,0,0
241,16.09344,0,0
242,16.09344,0,0
243,16.09344,0,0
